"ID","year","country","V1","V2","V3","V4","V5","F1","F2","DP","DC","DW","DM","DO","source"
"161","2015","Myanmar","0","0","0","0","0","0","0","0","1","1","0","0","https://unicefmyanmar.blogspot.com/2015/08/photos-myanmar-flood.html"
"162","2015","Myanmar","0","0","0","0","0","0","0","1","1","1","1","0","https://unicefmyanmar.blogspot.com/2015/08/photos-myanmar-flood.html"
"163","2015","Myanmar","0","0","0","0","1","0","0","1","1","0","1","0","https://graceroadmission.wordpress.com/2015/08/03/un-warns-myanmar-flood-toll-to-rise-as-rains-lash-region/"
"164","2015","Myanmar","0","0","0","0","0","0","0","0","1","1","0","0","https://www.youtube.com/watch?v=vL8wkbb8rU0"
"165","2015","United Kingdom","0","0","0","0","0","1","1","0","0","1","0","0","https://www.dailyrecord.co.uk/news/uk-world-news/gallery/flooding-uk-december-26-2015-7076644"
"166","2015","United Kingdom","0","0","0","0","0","0","0","0","1","1","1","0","http://www.huffingtonpost.co.uk/2015/12/26/manchester-flooding-damage-drone-footage-pub-washed-away-water_n_8879380.html"
"167","2015","United Kingdom","0","0","0","0","0","0","0","1","1","1","1","0","https://www.dailymail.co.uk/news/article-3352263/UK-weather-Britain-hit-24-hours-rain-70mph-winds-aftermath-Storm-Desmond.html"
"168","2015","India","0","0","0","0","0","0","0","1","1","0","1","0","http://www.cnn.com/2015/12/03/asia/india-floods-chennai/index.html"
"169","2015","India","0","0","0","0","0","0","0","1","0","0","1","0","http://www.cnn.com/2015/12/03/asia/india-floods-chennai/index.html"
"170","2016","United States of America","0","0","0","0","0","1","0","1","0","0","1","0","http://darkroom.baltimoresun.com/2016/03/heavy-storms-flood-louisiana/#1"
"171","2016","United States of America","0","0","0","0","0","1","0","1","1","1","1","1","https://www.latimes.com/nation/la-na-louisiana-flooding-20160816-snap-story.html"
"172","2016","United States of America","0","0","0","0","0","0","0","1","1","0","0","0","https://www.youtube.com/watch?v=dbNrCpvEmmg"
"173","2016","United States of America","0","0","0","0","0","0","0","1","1","1","0","0","https://www.youtube.com/watch?v=dbNrCpvEmmg"
"174","2016","United States of America","0","0","0","0","0","0","0","1","1","0","0","0","https://www.youtube.com/watch?v=dbNrCpvEmmg"
"175","2016","United States of America","0","0","0","0","0","0","0","1","1","0","0","0","https://www.youtube.com/watch?v=dbNrCpvEmmg"
"176","2016","United States of America","0","0","0","0","0","0","0","1","1","1","0","0","https://www.youtube.com/watch?v=dbNrCpvEmmg"
"177","2016","United States of America","0","0","0","0","0","1","0","1","1","0","0","0","https://www.youtube.com/watch?v=dbNrCpvEmmg"
"178","2016","United States of America","0","0","0","0","0","0","0","1","1","0","0","0","https://www.youtube.com/watch?v=dbNrCpvEmmg"
"179","2016","United States of America","0","0","0","0","0","0","0","1","1","0","0","0","https://www.youtube.com/watch?v=dbNrCpvEmmg"
"180","2016","Germany & France","0","1","0","0","0","0","0","0","0","1","0","0","https://www.businessinsider.com/shocking-pictures-of-the-floods-in-europe-2016-6"
"181","2016","Germany & France","0","0","0","0","0","0","0","1","0","1","0","0","https://www.businessinsider.com/shocking-pictures-of-the-floods-in-europe-2016-6"
"182","2016","Germany & France","0","1","0","0","0","0","0","1","1","1","0","0","https://www.businessinsider.com/shocking-pictures-of-the-floods-in-europe-2016-6"
"183","2016","Germany & France","0","1","0","0","0","0","0","0","1","1","0","0","https://www.businessinsider.com/shocking-pictures-of-the-floods-in-europe-2016-6"
"184","2016","Germany & France","0","1","0","0","0","0","0","1","1","1","0","0","https://www.businessinsider.com/shocking-pictures-of-the-floods-in-europe-2016-6"
"185","2016","Germany & France","0","1","0","0","0","0","0","1","1","1","0","0","https://www.businessinsider.com/shocking-pictures-of-the-floods-in-europe-2016-6"
"186","2016","Germany & France","0","0","0","0","0","0","0","0","1","1","0","0","https://www.businessinsider.com/shocking-pictures-of-the-floods-in-europe-2016-6"
"187","2016","Germany & France","0","1","0","0","0","0","0","0","0","0","0","0","https://www.nbcnews.com/slideshow/fatal-floods-wreak-havoc-germany-france-n584791"
"188","2016","Germany & France","0","0","0","0","0","0","0","1","1","0","1","0","https://www.nbcnews.com/slideshow/fatal-floods-wreak-havoc-germany-france-n584791"
"189","2016","Germany & France","0","1","0","0","0","0","0","0","0","1","0","0","https://www.euractiv.com/section/climate-environment/news/deaths-reported-as-flash-floods-hit-france-germany-and-austria/"
"190","2017","Bangladesh & India & Nepal","0","0","0","0","0","0","0","1","1","0","1","0","https://www.npr.org/sections/thetwo-way/2017/08/29/547078456/floods-in-south-asia-have-killed-more-than-1-000-people-this-summer?t=1654858030228"
"191","2017","Bangladesh & India & Nepal","0","0","0","0","0","0","0","1","1","1","1","0","https://edition.cnn.com/2017/08/22/asia/south-asia-flooding/index.html"
"192","2017","Bangladesh & India & Nepal","0","0","0","0","0","0","0","1","0","1","0","0","https://www.news.com.au/world/asia/south-asia-faces-severe-flooding-and-transport-chaos/news-story/ea29ce67ba87e0470bcce139b4236ded"
"193","2017","China","0","0","0","0","0","0","0","1","1","1","0","0","https://youtu.be/WQcdB_Rzlyg"
